NAWL_word,NGSL_family_words,family_keys
solute,solution,solut
solvent,solution,solut
sometime,sometimes,sometim
spatial,space,space
specialty,special; specialist; specialize,special
specification,specific; specifically,specif
sponsorship,sponsor,sponsor
stabilize,stability,stabil
standardize,standard,standard
statistical,statistic,statist
statistically,statistic,statist
statistics,statistic,statist
stimulus,stimulate,stimulate
strategic,strategy,strategy
strictly,strict,strict
subjective,subject,subject
substitution,substitute,substitut
sufficiently,sufficient,suffici
supposedly,suppose,suppos
surgeon,surgery,surgery
surgical,surgery,surgery
sustainable,sustain,sustain
symbolic,symbol,symbol
systematic,system,system
technically,technical,technic
temporal,temporary,tempor
tense,tension,tense
terminal,term,term
terminology,term,term
terribly,terrible,terribl
theorist,theory,theory
thickness,thick,thick
traditionally,tradition; traditional,tradit
transformation,transform,transform
translation,translate,translat
transplant,plant,plant_trans
tricky,trick,trick
ultimate,ultimately,ultim
undergraduate,graduate,graduate
unemployed,unemployment,unemploy
unify,unit,unit
unity,unit,unit
unstable,stable,stable
uplift,lift,lift
usage,use,use
variability,variable,variabl
variance,variable; variation; variety; vary,vary
variant,variable; variation; variety; vary,vary
vegetation,vegetable,veget
verbal,verb,verb
wisdom,wise,wise
